product_id,sku,product_name,description,category_id,brand_id,supplier_id,price,cost,weight_kg,is_active,created_at,updated_at
59,SKU-000059,Ultra Gadget 59,Descripción detallada del producto 59,3,9,4,196.71,137.7,25.9,True,2022-08-07,2024-03-29
60,SKU-000060,Ultra Herramienta 60,Descripción detallada del producto 60,10,10,8,461.7,263.17,48.7,True,2023-02-11,2026-02-13
61,SKU-000061,Premium Widget 61,Descripción detallada del producto 61,4,7,6,81.2,56.84,40.0,True,2022-10-11,2026-03-02
62,SKU-000062,Pro Producto 62,Descripción detallada del producto 62,10,15,6,393.24,255.61,13.7,False,2022-03-11,2024-10-20
63,SKU-000063,Elite Pack 63,Descripción detallada del producto 63,3,10,6,32.71,13.41,13.4,True,2023-02-26,2024-11-24
64,SKU-000064,Smart Herramienta 64,Descripción detallada del producto 64,1,11,4,25.08,15.3,26.4,True,2022-08-19,2025-09-03
65,SKU-000065,Premium Equipo 65,Descripción detallada del producto 65,4,5,7,209.36,146.55,1.0,True,2023-12-11,2024-07-12
66,SKU-000066,Premium Widget 66,Descripción detallada del producto 66,7,3,2,381.34,209.74,32.3,False,2023-01-05,2024-04-19
67,SKU-000067,Mini Pack 67,Descripción detallada del producto 67,3,3,3,413.17,268.56,9.9,True,2023-02-05,2024-04-08
68,SKU-000068,Pro Equipo 68,Descripción detallada del producto 68,9,15,6,111.38,61.26,22.2,True,2023-08-22,2025-01-15
69,SKU-000069,Ultra Equipo 69,Descripción detallada del producto 69,7,14,8,140.28,79.96,7.5,True,2023-09-14,2025-04-03
70,SKU-000070,Pro Dispositivo 70,Descripción detallada del producto 70,6,1,2,22.63,10.18,5.1,True,2023-04-25,2025-09-11
71,SKU-000071,Smart Widget 71,Descripción detallada del producto 71,10,9,1,330.42,158.6,27.9,True,2022-04-05,2025-03-18
72,SKU-000072,Elite Dispositivo 72,Descripción detallada del producto 72,6,5,8,402.42,261.57,35.8,True,2023-11-12,2025-04-01
73,SKU-000073,Mega Widget 73,Descripción detallada del producto 73,2,12,6,200.84,104.44,20.3,True,2022-09-27,2026-02-28
74,SKU-000074,Smart Pack 74,Descripción detallada del producto 74,5,9,4,15.62,7.19,32.8,True,2023-06-20,2025-10-18
75,SKU-000075,Mini Equipo 75,Descripción detallada del producto 75,2,7,7,271.76,125.01,43.4,True,2022-07-26,2025-12-19
76,SKU-000076,Mini Artículo 76,Descripción detallada del producto 76,6,10,5,262.3,146.89,45.2,True,2023-12-09,2025-09-02
77,SKU-000077,Básico Widget 77,Descripción detallada del producto 77,10,3,3,281.08,115.24,42.1,True,2023-03-07,2025-01-11
78,SKU-000078,Premium Set 78,Descripción detallada del producto 78,1,7,5,498.69,234.38,29.3,True,2023-08-29,2024-12-17
79,SKU-000079,Pro Dispositivo 79,Descripción detallada del producto 79,5,6,8,86.19,39.65,31.2,True,2022-01-21,2024-04-05
80,SKU-000080,Mega Widget 80,Descripción detallada del producto 80,10,10,4,98.0,50.96,1.8,True,2022-09-05,2024-03-02
81,SKU-000081,Mega Dispositivo 81,Descripción detallada del producto 81,3,10,4,6.35,3.62,48.7,True,2022-11-19,2024-02-19
82,SKU-000082,Ultra Pack 82,Descripción detallada del producto 82,5,10,7,64.31,41.8,32.2,True,2023-09-07,2025-01-27
83,SKU-000083,Elite Artículo 83,Descripción detallada del producto 83,8,15,1,448.29,295.87,18.4,True,2022-08-14,2025-06-02
84,SKU-000084,Mega Set 84,Descripción detallada del producto 84,9,4,3,143.03,84.39,6.4,True,2023-03-05,2024-03-13
85,SKU-000085,Max Gadget 85,Descripción detallada del producto 85,3,14,6,290.09,153.75,6.9,False,2022-01-12,2025-05-03
86,SKU-000086,Max Gadget 86,Descripción detallada del producto 86,8,8,1,410.59,246.35,48.5,True,2022-12-30,2026-02-10
87,SKU-000087,Smart Widget 87,Descripción detallada del producto 87,1,14,5,295.63,180.33,4.3,True,2022-05-28,2025-02-18
88,SKU-000088,Max Artículo 88,Descripción detallada del producto 88,10,4,1,290.16,162.49,23.9,True,2022-07-26,2024-03-01
89,SKU-000089,Smart Producto 89,Descripción detallada del producto 89,6,9,1,225.93,133.3,17.1,True,2022-02-24,2026-01-29
90,SKU-000090,Smart Gadget 90,Descripción detallada del producto 90,4,3,2,380.88,209.48,45.4,True,2023-05-27,2025-10-07
91,SKU-000091,Ultra Equipo 91,Descripción detallada del producto 91,2,4,8,184.94,75.83,4.0,True,2022-03-21,2025-07-23
92,SKU-000092,Super Kit 92,Descripción detallada del producto 92,7,1,2,391.15,246.42,23.5,True,2022-02-06,2024-02-26
93,SKU-000093,Premium Artículo 93,Descripción detallada del producto 93,9,11,6,297.57,190.44,33.3,True,2023-08-21,2024-05-16
94,SKU-000094,Mini Producto 94,Descripción detallada del producto 94,4,13,4,272.26,182.41,48.4,True,2023-04-02,2024-08-02
95,SKU-000095,Elite Set 95,Descripción detallada del producto 95,1,3,7,423.34,203.2,6.5,True,2023-10-29,2024-10-12
96,SKU-000096,Super Artículo 96,Descripción detallada del producto 96,1,4,2,79.37,33.34,19.0,True,2022-09-11,2026-01-15
97,SKU-000097,Mega Herramienta 97,Descripción detallada del producto 97,10,14,7,76.83,53.01,0.4,False,2022-11-09,2025-11-15
98,SKU-000098,Ultra Dispositivo 98,Descripción detallada del producto 98,7,5,3,478.15,210.39,44.3,True,2022-05-23,2024-09-30
99,SKU-000099,Pro Kit 99,Descripción detallada del producto 99,8,9,4,437.91,249.61,42.9,True,2022-10-04,2024-11-27
100,SKU-000100,Smart Equipo 100,Descripción detallada del producto 100,5,2,8,303.16,166.74,41.7,True,2022-06-28,2025-03-08
